date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:37:37	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://uditrsahani-ship-it.github.io/macamazepop/globalnav/links/ipad/image_large.svg	C:/Users/optimus%20prime/Desktop/ios%203%20popup/uditrsahani-ship-it.github.io/macamazepop/globalnav/links/ipad/image_large.svg	(from https://uditrsahani-ship-it.github.io/macamazepop/Base.css)
10:37:37	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://uditrsahani-ship-it.github.io/macamazepop/globalnav/links/ipad/image_small.svg	C:/Users/optimus%20prime/Desktop/ios%203%20popup/uditrsahani-ship-it.github.io/macamazepop/globalnav/links/ipad/image_small.svg	(from https://uditrsahani-ship-it.github.io/macamazepop/Base.css)
10:37:37	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2269a01f78-24a3%22	https://uditrsahani-ship-it.github.io/macamazepop/globalnav/links/iphone/image_large.svg	C:/Users/optimus%20prime/Desktop/ios%203%20popup/uditrsahani-ship-it.github.io/macamazepop/globalnav/links/iphone/image_large.svg	(from https://uditrsahani-ship-it.github.io/macamazepop/Base.css)
10:37:38	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://uditrsahani-ship-it.github.io/macamazepop/globalnav/links/iphone/image_small.svg	C:/Users/optimus%20prime/Desktop/ios%203%20popup/uditrsahani-ship-it.github.io/macamazepop/globalnav/links/iphone/image_small.svg	(from https://uditrsahani-ship-it.github.io/macamazepop/Base.css)
10:37:38	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://uditrsahani-ship-it.github.io/macamazepop/globalnav/links/watch/image_large.svg	C:/Users/optimus%20prime/Desktop/ios%203%20popup/uditrsahani-ship-it.github.io/macamazepop/globalnav/links/watch/image_large.svg	(from https://uditrsahani-ship-it.github.io/macamazepop/Base.css)
10:37:38	1653/1653	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%226a26f8f5-675%22	https://uditrsahani-ship-it.github.io/macamazepop/globalnav/links/watch/image_small.svg	C:/Users/optimus%20prime/Desktop/ios%203%20popup/uditrsahani-ship-it.github.io/macamazepop/globalnav/links/watch/image_small.svg	(from https://uditrsahani-ship-it.github.io/macamazepop/Base.css)
10:37:38	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://uditrsahani-ship-it.github.io/macamazepop/globalnav/links/tv/image_large.svg	C:/Users/optimus%20prime/Desktop/ios%203%20popup/uditrsahani-ship-it.github.io/macamazepop/globalnav/links/tv/image_large.svg	(from https://uditrsahani-ship-it.github.io/macamazepop/Base.css)
10:37:39	632/632	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%226a26f8f4-278%22	https://uditrsahani-ship-it.github.io/macamazepop/globalnav/links/tv/image_small.svg	C:/Users/optimus%20prime/Desktop/ios%203%20popup/uditrsahani-ship-it.github.io/macamazepop/globalnav/links/tv/image_small.svg	(from https://uditrsahani-ship-it.github.io/macamazepop/Base.css)
10:37:39	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2269a01f78-24a3%22	https://uditrsahani-ship-it.github.io/macamazepop/globalnav/links/music/image_large.svg	C:/Users/optimus%20prime/Desktop/ios%203%20popup/uditrsahani-ship-it.github.io/macamazepop/globalnav/links/music/image_large.svg	(from https://uditrsahani-ship-it.github.io/macamazepop/Base.css)
10:37:39	1556/1556	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%226a26f8f4-614%22	https://uditrsahani-ship-it.github.io/macamazepop/globalnav/links/music/image_small.svg	C:/Users/optimus%20prime/Desktop/ios%203%20popup/uditrsahani-ship-it.github.io/macamazepop/globalnav/links/music/image_small.svg	(from https://uditrsahani-ship-it.github.io/macamazepop/Base.css)
10:37:39	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://uditrsahani-ship-it.github.io/macamazepop/globalnav/links/support/image_large.svg	C:/Users/optimus%20prime/Desktop/ios%203%20popup/uditrsahani-ship-it.github.io/macamazepop/globalnav/links/support/image_large.svg	(from https://uditrsahani-ship-it.github.io/macamazepop/Base.css)
10:37:40	2308/2308	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%226a26f8f4-904%22	https://uditrsahani-ship-it.github.io/macamazepop/globalnav/links/support/image_small.svg	C:/Users/optimus%20prime/Desktop/ios%203%20popup/uditrsahani-ship-it.github.io/macamazepop/globalnav/links/support/image_small.svg	(from https://uditrsahani-ship-it.github.io/macamazepop/Base.css)
10:37:40	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2269a01f78-24a3%22	https://uditrsahani-ship-it.github.io/macamazepop/globalnav/search/image_large.svg	C:/Users/optimus%20prime/Desktop/ios%203%20popup/uditrsahani-ship-it.github.io/macamazepop/globalnav/search/image_large.svg	(from https://uditrsahani-ship-it.github.io/macamazepop/Base.css)
10:37:40	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2269a01f78-24a3%22	https://uditrsahani-ship-it.github.io/macamazepop/globalnav/search/image_small.svg	C:/Users/optimus%20prime/Desktop/ios%203%20popup/uditrsahani-ship-it.github.io/macamazepop/globalnav/search/image_small.svg	(from https://uditrsahani-ship-it.github.io/macamazepop/Base.css)
10:37:40	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://uditrsahani-ship-it.github.io/macamazepop/globalnav/bag/image_large.svg	C:/Users/optimus%20prime/Desktop/ios%203%20popup/uditrsahani-ship-it.github.io/macamazepop/globalnav/bag/image_large.svg	(from https://uditrsahani-ship-it.github.io/macamazepop/Base.css)
10:37:41	898/898	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%226a26f8f5-382%22	https://uditrsahani-ship-it.github.io/macamazepop/globalnav/bag/image_small.svg	C:/Users/optimus%20prime/Desktop/ios%203%20popup/uditrsahani-ship-it.github.io/macamazepop/globalnav/bag/image_small.svg	(from https://uditrsahani-ship-it.github.io/macamazepop/Base.css)
10:37:41	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2269a01f78-24a3%22	https://uditrsahani-ship-it.github.io/macamazepop/globalnav/search/icon_reset_small.svg	C:/Users/optimus%20prime/Desktop/ios%203%20popup/uditrsahani-ship-it.github.io/macamazepop/globalnav/search/icon_reset_small.svg	(from https://uditrsahani-ship-it.github.io/macamazepop/Base.css)
10:37:42	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-653be51ad0db5%22	https://c.statcounter.com/robots.txt		(from https://uditrsahani-ship-it.github.io/macamazepop/)
